ID (Station ID),Station Names,Dist. From First Station(km),Metro Line,Opened(Year),Layout,Latitude,Longitude,Connection1,Connection2
16,Dilli Haat INA [Conn: Yellow],24.9,Pink line,06-08-2018,Underground,28.57440755,77.21024148,Violet,None
17,South Extension,26.1,Pink line,06-08-2018,Underground,28.5686,77.2203,None,None
18,Lajpat Nagar [Conn: Violet],27.7,Pink line,06-08-2018,Underground,28.57079,77.23653,None,None
19,Vinobapuri,29.1,Pink line,31-12-2018,Underground,28.5669763,77.2491906,None,None
20,Ashram,30.3,Pink line,31-12-2018,Underground,28.5724231,77.2585979,Blue,None
21,Sarai Kale Khan Hazrat Nizamuddin,32.2,Pink line,31-12-2018,Underground,28.5887494,77.2572494,None,None
22,Mayur Vihar Phase-1 [Conn: Blue],35.8,Pink line,31-12-2018,Elevated,28.603133,77.2925892,None,None
23,Mayur Vihar Pocket I,36.6,Pink line,31-10-2018,Elevated,28.6058619,77.2987023,None,None
24,Trilokpuri Sanjay Lake,37.9,Pink line,31-10-2018,Elevated,28.613453,77.3088549,None,None
25,Vinod Nagar East,38.7,Pink line,31-10-2018,Elevated,28.6200437,77.3054069,None,None
26,Mandawali - West Vinod Nagar,39.3,Pink line,31-10-2018,Elevated,28.6249712,77.3044906,Blue,None
27,IP Extension,40.3,Pink line,31-10-2018,Elevated,28.6288991,77.31019788,Blue,None
28,Anand Vihar [Conn: Blue],41.9,Pink line,31-10-2018,Elevated,28.6467533,77.3180037,None,None
29,Karkar Duma [Conn: Blue],42.9,Pink line,31-10-2018,Elevated,28.6491622,77.30620811,None,None
30,Karkarduma Court,44,Pink line,31-10-2018,Elevated,28.6536001,77.2957877,None,None
31,Krishna Nagar,44.7,Pink line,31-10-2018,Elevated,28.6578461,77.2901853,Red,None
32,East Azad Nagar,45.7,Pink line,31-10-2018,Elevated,28.6646964,77.284881,None,None
33,Welcome [Conn: Red],46.8,Pink line,31-10-2018,Elevated,28.6718,77.27756,None,None
34,Jaffrabad,48,Pink line,31-10-2018,Elevated,28.6826822,77.2748055,None,None
35,Maujpur,49.1,Pink line,31-10-2018,Elevated,28.69197845,77.27962397,None,None
36,Gokulpuri,50.4,Pink line,31-10-2018,Elevated,28.7024752,77.2861253,None,None
37,Johri Enclave,51.7,Pink line,31-10-2018,Elevated,28.71288,77.2861253,Blue,None
38,Shiv Vihar,52.6,Pink line,31-10-2018,Elevated,28.721463,77.289398,None,None
1,Noida Sector 51,0,Aqua line,25-01-2019,Elevated,28.585548,77.375374,None,None
2,Noida Sector 50,1.3,Aqua line,25-01-2019,Elevated,28.574518,77.377206,None,None
3,Noida Sector 76,2.3,Aqua line,25-01-2019,Elevated,28.56533,77.37966,None,None
4,Noida Sector 101,3.4,Aqua line,25-01-2019,Elevated,28.5896,77.3732,None,None
5,Noida Sector 81,4.3,Aqua line,25-01-2019,Elevated,28.572,77.394,None,None
8,Noida Sector 137,8.9,Aqua line,25-01-2019,Elevated,28.542,77.416,None,None
9,Noida Sector 142,10.5,Aqua line,25-01-2019,Elevated,28.513,77.423,None,None
10,Noida Sector 143,11.5,Aqua line,25-01-2019,Elevated,28.506,77.438,None,None
11,Noida Sector 144,12.9,Aqua line,25-01-2019,Elevated,28.48629,77.43308,None,None
12,Noida Sector 145,14.1,Aqua line,25-01-2019,Elevated,28.47913,77.44231,None,None
13,Noida Sector 146,15.8,Aqua line,25-01-2019,Elevated,28.45,77.45,None,None
14,Noida Sector 147,17.3,Aqua line,25-01-2019,Elevated,28.43,77.46,None,None
15,Noida Sector 148,18.9,Aqua line,25-01-2019,Elevated,28.41,77.475,None,None
16,Knowledge Park II,21.4,Aqua line,25-01-2019,Elevated,28.45722,77.49722,None,None
17,Pari Chowk Greater Noida,22.5,Aqua line,25-01-2019,Elevated,28.48,77.53,None,None
18,Alpha 1 Greater Noida,23.4,Aqua line,25-01-2019,Elevated,28.6132,77.3947,None,None
19,Delta 1 Greater Noida,24.9,Aqua line,25-01-2019,Elevated,28.625,77.4,None,None
20,GNIDA Office,26.2,Aqua line,25-01-2019,Elevated,28.62,77.41,None,None
21,Depot Greater Noida,27.1,Aqua line,25-01-2019,Elevated,28.63,77.42,None,None
1,Dwarka [Conn: Blue],0,Gray line,04-10-2019,Elevated,28.61564,77.02197,Blue,None
2,Nangli,1.5,Gray line,04-10-2019,Elevated,28.6173003,77.0104375,None,None
3,Najafgarh,3.9,Gray line,04-10-2019,Underground,28.612304,76.9823908,None,None
1,New Delhi-Airport Express [Conn: Yellow],0,Orange line,23-02-2011,Underground,28.64307,77.22144,Yellow,None
2,Shivaji Stadium,1.9,Orange line,23-02-2011,Underground,28.62901,77.2119,None,None
3,Dhaula Kuan [Conn: Pink],8.3,Orange line,15-08-2011,Elevated,28.59178,77.16155,Pink,None
4,Delhi Aerocity,14.5,Orange line,15-08-2011,Underground,28.54881,77.12092,None,None
5,IGI Airport,17.9,Orange line,23-02-2011,Underground,28.55693,77.08669,None,None
6,Dwarka Sector 21 [Conn: Blue],20.8,Orange line,23-02-2011,Underground,28.55226,77.05828,Blue,None
